Thu Apr 15 22:12:28 2021    cProfiler\output.dat

         236095 function calls in 9.489 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    52154    0.021    0.000    0.021    0.000 {method 'overlap' of 'pygame.mask.Mask' objects}
    47130    0.019    0.000    0.019    0.000 C:\Users\lukas\AppData\Local\Programs\Python\Python38-32\lib\site-packages\pygame\sprite.py:546(<genexpr>)
    17121    0.023    0.000    0.046    0.000 C:\Users\lukas\Desktop\INF-1400-Assignments\Mayhem\Mayhem\game\thrustanimation.py:45(update)
    10220    0.011    0.000    0.011    0.000 C:\Users\lukas\AppData\Local\Programs\Python\Python38-32\lib\site-packages\pygame\sprite.py:360(sprites)
    10165    0.002    0.000    0.002    0.000 C:\Users\lukas\Desktop\INF-1400-Assignments\Mayhem\Mayhem\game\items.py:44(update)
     9831    0.002    0.000    0.002    0.000 C:\Users\lukas\Desktop\INF-1400-Assignments\Mayhem\Mayhem\game\items.py:70(update)
     9509    0.065    0.000    0.065    0.000 {built-in method pygame.transform.rotate}
     7300    0.006    0.000    0.016    0.000 C:\Users\lukas\AppData\Local\Programs\Python\Python38-32\lib\site-packages\pygame\sprite.py:415(__iter__)
     7300    0.002    0.000    0.002    0.000 {built-in method builtins.iter}
     6734    0.004    0.000    0.004    0.000 {built-in method builtins.round}
     4617    0.001    0.000    0.001    0.000 C:\Users\lukas\Desktop\INF-1400-Assignments\Mayhem\Mayhem\game\items.py:56(update)
     3512    0.010    0.000    0.010    0.000 {method 'convert_alpha' of 'pygame.Surface' objects}
     3367    0.005    0.000    0.005    0.000 {method 'get_rect' of 'pygame.Surface' objects}
     3073    0.998    0.000    0.998    0.000 {built-in method pygame.image.load}
     2924    0.005    0.000    0.005    0.000 C:\Users\lukas\Desktop\INF-1400-Assignments\Mayhem\Mayhem\game\ship.py:161(edges)
     2924    0.027    0.000    0.227    0.000 C:\Users\lukas\Desktop\INF-1400-Assignments\Mayhem\Mayhem\game\ship.py:243(update)
     2924    0.150    0.000    0.150    0.000 {built-in method pygame.mask.from_surface}
     2920    0.008    0.000    1.048    0.000 C:\Users\lukas\Desktop\INF-1400-Assignments\Mayhem\Mayhem\game\player.py:63(input)
     2920    0.010    0.000    1.040    0.000 C:\Users\lukas\Desktop\INF-1400-Assignments\Mayhem\Mayhem\game\ship.py:115(action)
